population,income,homeval,rentval,district,statefull,abbr,label,gopvi,sqrmiles,density,white
703242,50727,204207,742,7,Michigan,MI,MI-7,3,4227.73,166,0.9169503527946284
713390,61476,193964,814,8,Michigan,MI,MI-8,2,1503.18,474,0.8660017662148334
712724,50314,208769,818,9,Michigan,MI,MI-9,-6,183.59,3882,0.8149409869739198
704740,54864,212509,783,10,Michigan,MI,MI-10,6,4140.44,170,0.9305006101540994
711982,72072,207228,927,11,Michigan,MI,MI-11,4,419.26,1698,0.8339859715554607
706046,50651,173086,864,12,Michigan,MI,MI-12,-15,403.21,1751,0.7963263016857258
692167,30694,144827,749,13,Michigan,MI,MI-13,-34,184.85,3744,0.3788045370553638
700805,40365,153172,852,14,Michigan,MI,MI-14,-29,185.73,3773,0.34153295139161394
667108,54130,193711,680,1,Minnesota,MN,MN-1,1,11973.99,55,0.9221085641305456
675357,72975,195572,915,2,Minnesota,MN,MN-2,2,2437.91,277,0.8665639062007205
681063,76753,197578,1022,3,Minnesota,MN,MN-3,2,527.05,1292,0.8232836022511868
679186,61118,168295,862,4,Minnesota,MN,MN-4,-11,332.49,2042,0.7371971742644872
680525,52282,155432,859,5,Minnesota,MN,MN-5,-22,135.66,5016,0.6955600455530656
675512,70006,193539,853,6,Minnesota,MN,MN-6,10,2882.22,234,0.9213648314167624
662229,49832,202647,615,7,Minnesota,MN,MN-7,6,33429.31,19,0.9246605026357952
661396,48587,208851,672,8,Minnesota,MN,MN-8,-1,27908.13,23,0.934750134563862
749704,40643,197558,678,1,Mississippi,MS,MS-1,16,10572.8,70,0.6996681356908859
733729,31092,160486,629,2,Mississippi,MS,MS-2,-13,15551.51,47,0.328175661586226
747670,40736,198895,717,3,Mississippi,MS,MS-3,14,12754.48,58,0.615183169045167
754078,40691,187762,766,4,Mississippi,MS,MS-4,21,8044.48,93,0.7248149395685858
743002,39346,166699,771,1,Missouri,MO,MO-1,-28,225.36,3296,0.4438184554011968
757748,72999,232369,901,2,Missouri,MO,MO-2,8,465.76,1626,0.8967638317752076
758554,53616,220037,712,3,Missouri,MO,MO-3,13,6851.54,110,0.9330779351239332
755505,43778,194141,714,4,Missouri,MO,MO-4,13,14401.38,52,0.8982879001462598
753557,43745,180104,774,5,Missouri,MO,MO-5,-9,2424.85,310,0.6911102942444964
752997,51353,201998,706,6,Missouri,MO,MO-6,12,18198.62,41,0.9099292560262524
756384,40942,194208,666,7,Missouri,MO,MO-7,19,6272.84,120,0.9246930130727249
748508,37183,202458,574,8,Missouri,MO,MO-8,17,19901.17,37,0.9246260561009368
1006086,45951,272702,683,1,Montana,MT,MT-1,7,145545.8,6,0.8921245301097521
620380,52337,159082,701,1,Nebraska,NE,NE-1,10,8879.02,69,0.9029627002804732
626491,55640,152533,788,2,Nebraska,NE,NE-2,4,509.74,1229,0.8065798231738365
608338,46933,172585,605,3,Nebraska,NE,NE-3,23,67435.41,9,0.9408404538266556
666665,37860,100237,839,1,Nevada,NV,NV-1,-14,104.5,6379,0.6188385470963678
684685,52506,156341,886,2,Nevada,NV,NV-2,5,55829.71,12,0.827712013553678
710840,61836,154716,1170,3,Nevada,NV,NV-3,0,2848.99,249,0.7089752968319172
691958,51567,138241,1016,4,Nevada,NV,NV-4,-4,50997.97,13,0.6370661225103258
660887,65116,181821,1009,1,New Hampshire,NH,NH-1,1,2463.65,268,0.9386506316510992
660163,64209,185296,946,2,New Hampshire,NH,NH-2,-3,6489.0,101,0.9383364411516548
733235,62669,187025,979,1,New Jersey,NJ,NJ-1,-13,350.02,2094,0.6873253458986546
733779,57154,191491,1028,2,New Jersey,NJ,NJ-2,-1,2092.43,350,0.7423897385997691
738478,71875,225982,1229,3,New Jersey,NJ,NJ-3,1,899.7,820,0.8118671104623293
734432,74144,204440,1228,4,New Jersey,NJ,NJ-4,7,691.88,1061,0.8521156485556185
736245,90025,199917,1265,5,New Jersey,NJ,NJ-5,4,991.3,742,0.7874960101596615
738730,74151,158777,1243,6,New Jersey,NJ,NJ-6,-8,215.55,3427,0.6600760765096856
738426,100056,205224,1318,7,New Jersey,NJ,NJ-7,6,970.19,761,0.8055607467776054
756575,52803,78138,1142,8,New Jersey,NJ,NJ-8,-24,54.69,13833,0.5606833426957011
744305,59752,126618,1208,9,New Jersey,NJ,NJ-9,-14,95.34,7806,0.6290445449110244
729719,45478,104034,1039,10,New Jersey,NJ,NJ-10,-34,75.92,9611,0.29981951956849145
740274,98315,206558,1368,11,New Jersey,NJ,NJ-11,6,504.97,1465,0.8353731186020311
743711,77585,174890,1200,12,New Jersey,NJ,NJ-12,-14,412.23,1804,0.5772645557212411
695527,46601,171687,779,1,New Mexico,NM,NM-1,-7,4600.14,151,0.7165401199378313
698308,39541,169496,682,2,New Mexico,NM,NM-2,5,71739.49,9,0.8116876793621153
688415,45593,176348,812,3,New Mexico,NM,NM-3,-8,44958.52,15,0.6575960721367199
721952,86217,198540,1547,1,New York,NY,NY-1,2,650.02,1110,0.8812815810469394
721509,86213,180725,1446,2,New York,NY,NY-2,1,182.01,3964,0.7558450414339946
722406,100098,200403,1632,3,New York,NY,NY-3,0,254.92,2833,0.7693250056062657
717348,90822,180015,1437,4,New York,NY,NY-4,-3,110.85,6471,0.6792003323352125
758430,59103,123442,1212,5,New York,NY,NY-5,-35,51.88,14618,0.18331421489128855
719242,56703,122545,1344,6,New York,NY,NY-6,-13,29.78,24151,0.4890454116973147
747740,43445,52986,1162,7,New York,NY,NY-7,-34,16.16,46271,0.4865688608339797
724024,43075,89259,1074,8,New York,NY,NY-8,-35,29.66,24410,0.28865341480392914
734048,46645,78808,1148,9,New York,NY,NY-9,-32,15.54,47236,0.3327302846680326
721942,75223,88332,1639,10,New York,NY,NY-10,-23,14.25,50662,0.7139257724304723
729585,63706,148496,1180,11,New York,NY,NY-11,2,65.83,11082,0.727693140621038
715554,86583,97145,1798,12,New York,NY,NY-12,-27,14.79,48380,0.7520382808285608
750812,34649,26571,1038,13,New York,NY,NY-13,-42,10.25,73249,0.26027021411485163
720579,49481,73062,1295,14,New York,NY,NY-14,-26,28.29,25471,0.467920935803014
735322,24612,21207,952,15,New York,NY,NY-15,-43,14.54,50572,0.15487772703659078
731103,61864,129436,1202,16,New York,NY,NY-16,-21,78.37,9328,0.4815135487065434
730465,87135,162472,1395,17,New York,NY,NY-17,-5,382.63,1909,0.6985591369880829
719331,75236,174537,1148,18,New York,NY,NY-18,0,1353.42,531,0.7821308966247805
714225,56611,199225,880,19,New York,NY,NY-19,-1,7937.02,89,0.8992180335328503
720872,59248,175048,875,20,New York,NY,NY-20,-7,1231.28,585,0.8155900076573928
720207,49966,194393,789,21,New York,NY,NY-21,0,15114.76,47,0.9222848431076066
715730,47200,191038,674,22,New York,NY,NY-22,3,5077.45,140,0.9042739580568092
715111,46015,195998,675,23,New York,NY,NY-23,3,7371.65,97,0.9166744743123796
714256,52243,190205,737,24,New York,NY,NY-24,-5,2388.56,299,0.8522266526287493
721731,51226,182246,810,25,New York,NY,NY-25,-7,510.19,1414,0.7520128690606334
715879,43140,179650,705,26,New York,NY,NY-26,-12,219.13,3266,0.7308846886135786
717257,57982,216601,715,27,New York,NY,NY-27,8,3973.13,180,0.9364621049358876
729775,33023,150149,709,1,North Carolina,NC,NC-1,-19,5494.28,132,0.3953574731937926
762421,50817,187515,807,2,North Carolina,NC,NC-2,10,3246.68,234,0.7304966678514889
751070,45148,178488,835,3,North Carolina,NC,NC-3,11,7810.08,96,0.7465562464217717
760235,48947,153283,866,4,North Carolina,NC,NC-4,-20,1045.35,727,0.5513729307385217
739563,42662,201454,693,5,North Carolina,NC,NC-5,11,3571.86,207,0.8142714008137237
750726,48309,215309,715,6,North Carolina,NC,NC-6,10,3674.55,204,0.7748725899995471
752665,45594,201605,756,7,North Carolina,NC,NC-7,12,6161.77,122,0.7415663010768403
743193,40444,185511,672,8,North Carolina,NC,NC-8,11,4512.78,164,0.684456123779422
766831,70150,208946,969,9,North Carolina,NC,NC-9,8,856.93,894,0.7856424688099464
738516,42466,196836,704,10,North Carolina,NC,NC-10,11,2575.16,286,0.8230370093538935
735480,39501,213920,659,11,North Carolina,NC,NC-11,13,6838.24,107,0.9071749061837168
759136,35657,129645,766,12,North Carolina,NC,NC-12,-26,549.66,1381,0.3721941786451967
759655,62691,211242,874,13,North Carolina,NC,NC-13,8,2280.59,333,0.7460742047376769
703203,54920,189954,664,1,North Dakota,ND,ND-1,10,69000.8,10,0.8936409543190231
727426,50840,171418,694,1,Ohio,OH,OH-1,6,686.96,1058,0.7248586110477216
720413,50128,195258,707,2,Ohio,OH,OH-2,8,3221.62,223,0.8764028411480637
733312,40039,132608,767,3,Ohio,OH,OH-3,-17,228.0,3216,0.5767858701344039
715770,46843,193727,661,4,Ohio,OH,OH-4,9,4664.87,153,0.9071461502996772
724116,50774,208091,672,5,Ohio,OH,OH-5,7,5626.47,128,0.9230399549243492
714160,42162,207975,585,6,Ohio,OH,OH-6,8,7215.03,98,0.9536728464209699
722682,48457,202482,662,7,Ohio,OH,OH-7,6,3864.76,186,0.9316905637611009
723551,50426,191808,724,8,Ohio,OH,OH-8,15,2450.49,295,0.8936398401771264
